Municipality,Canton,Population,Area
Eglisau,ZH,5188,9.1
Egliswil,AG,1452,6.34
Egnach,TG,4681,18.48
Egolzwil,LU,1483,4.15
Ehrendingen,AG,4830,7.28
Eich,LU,1632,5.91
Eichberg,SG,1521,5.5
Eiken,AG,2298,7.01
Einsiedeln,SZ,15550,99
Eischoll,VS,438,14.06
Eisten,VS,197,37.94
Elfingen,AG,300,4.21
Elgg,ZH,4425,24.38
Ellikon_an_der_Thur,ZH,902,4.97
Elsau,ZH,3631,8.04
Embd,VS,301,13.36
Embrach,ZH,9432,12.72
Emmen,LU,30682,20.38
Emmetten,NW,1401,25.05
Endingen,AG,2530,11.85
Engelberg,OW,4155,74.89
Enges,NE,274,9.56
Ennetbaden,AG,3510,2.13
Ennetbürgen,NW,4698,9.4
Ennetmoos,NW,2147,14.09
Entlebuch,LU,3315,56.97
Epalinges,VD,9333,4.61
Ependes_FR,FR,1111,5.61
Ependes_VD,VD,361,4.8
Eppenberg-Wöschnau,SO,330,1.81
Epsach,BE,323,3.39
Eptingen,BL,530,11.21
Ergisch,VS,188,29.52
Eriswil,BE,1399,11.3
Eriz,BE,490,21.79
Erlach,BE,1427,3.44
Erlen,TG,3636,12.23
Erlenbach_ZH,ZH,5576,2.97
Erlenbach_im_Simmental,BE,1733,36.67
Erlinsbach_AG,AG,4195,9.87
Erlinsbach_SO,SO,3524,8.85
Ermatingen,TG,3202,10.42
Ermensee,LU,984,5.72
Ernen,VS,501,35.36
Erschwil,SO,920,7.47
Ersigen,BE,2068,15.46
Erstfeld,UR,3781,59.05
Eschenbach_LU,LU,3589,13.2
Eschenbach_SG,SG,9477,54.92
Eschenz,TG,1721,12.02
Eschert,BE,389,6.58
Eschlikon,TG,4296,6.2
Escholzmatt-Marbach,LU,4358,106.34
Essertes,VD,347,1.66
Essertines-sur-Rolle,VD,691,7.01
Essertines-sur-Yverdon,VD,981,9.76
Estavayer,FR,9494,44.89
Etagnières,VD,1117,3.76
Etoy,VD,2919,4.92
Ettingen,BL,5156,6.37
Ettiswil,LU,2691,12.52
Etziken,SO,869,3.37
Evilard,BE,2638,3.67
Evionnaz,VS,1260,48.07
Evolène,VS,1701,209.83
Eysins,VD,1601,2.36
Fahrni,BE,788,6.66
Fahrwangen,AG,2133,3.98
Fahy,JU,361,7.76
Faido,TI,2949,132.44
Falera,GR,623,22.35
Fällanden,ZH,8606,6.36
Faoug,VD,895,3.49
Farnern,BE,205,3.65
Féchy,VD,896,2.69
Fehraltorf,ZH,6416,9.5
Fehren,SO,589,1.48
Felben-Wellhausen,TG,2743,7.38
Feldbrunnen-St._Niklaus,SO,975,2.5
Felsberg,GR,2569,13.39
Ferden,VS,251,27.9
Ferenbalm,BE,1241,9.16
Ferpicloz,FR,283,1.02
Ferrera,GR,76,75.44
Ferreyres,VD,321,3.19
Fétigny,FR,1044,4.07
Feuerthalen,ZH,3641,2.5
Feusisberg,SZ,5272,17.49
Fey,VD,703,7.43
Fideris,GR,598,25.33
Fiesch,VS,918,11.04
Fieschertal,VS,334,172.79
Fiez,VD,425,6.81
Finhaut,VS,387,22.8
Finsterhennen,BE,560,3.57
Fischbach,LU,706,8.04
Fischbach-Göslikon,AG,1641,3.09
Fischenthal,ZH,2512,30.17
Fischingen,TG,2680,30.66
Fisibach,AG,510,5.72
Fislisbach,AG,5547,5.12
Flaach,ZH,1390,10.2
Fläsch,GR,774,19.95
Flawil,SG,10551,11.48
Flerden,GR,254,6.07
Flims,GR,2825,50.46
Flüelen,UR,1975,12.41
Flühli,LU,1956,108.09
Flumenthal,SO,947,3.08
Flums,SG,4941,75.18
Flurlingen,ZH,1440,2.41
Fontaines-sur-Grandson,VD,210,7.93
Fontenais,JU,1678,19.97
Forel_Lavaux,VD,2083,18.48
Forst-Längenbühl,BE,778,4.53
Founex,VD,3796,4.78
Fräschels,FR,467,3.14
Frasco,TI,107,25.95
Fraubrunnen,BE,5037,31.97
Frauenfeld,TG,25058,27.38
Frauenkappelen,BE,1235,9.28
Freienbach,SZ,16269,13.82
Freienstein-Teufen,ZH,2376,8.34
Freienwil,AG,1053,4
Freimettigen,BE,473,2.96
Frenkendorf,BL,6471,4.61
Fribourg,FR,38521,9.33
Frick,AG,5489,9.97
Froideville,VD,2557,7.02
Frutigen,BE,6917,72.3
Fulenbach,SO,1776,4.47
Füllinsdorf,BL,4472,4.63
Full-Reuenthal,AG,889,4.86
Fully,VS,8737,37.85
Furna,GR,213,33.25
Fürstenau,GR,349,1.3
Gächlingen,SH,864,7.21
Gachnang,TG,4211,9.83
Gais,AR,3096,21.21
Gaiserwald,SG,8368,12.64
Galgenen,SZ,5231,13.22
Galmiz,FR,672,8.99
Gals,BE,800,7.9
Gambarogno,TI,5137,51.71
Gampel-Bratsch,VS,1964,23.05
Gampelen,BE,973,10.56
Gams,SG,3404,22.28
Gänsbrunnen,SO,89,11.43
Gansingen,AG,1036,8.78
Gebenstorf,AG,5411,5.68
Gelterkinden,BL,6095,9.77
Geltwil,AG,216,3.27
Gempen,SO,880,5.97
Gempenach,FR,291,1.64
Genève,GE,200548,15.89
Genolier,VD,1937,4.85
Genthod,GE,2779,2.81
Gerlafingen,SO,5118,1.89
Geroldswil,ZH,4943,1.9
Gersau,SZ,2279,14.36
Gerzensee,BE,1194,7.81
Gettnau,LU,1151,6.05
Geuensee,LU,2911,6.43
Gibloux,FR,7306,36.12
Giebenach,BL,1031,1.33
Giez,VD,421,4.77
Giffers,FR,1606,5.21
Gilly,VD,1309,7.74
Gimel,VD,2016,18.91
Gingins,VD,1210,12.6
Giornico,TI,873,19.55
Gipf-Oberfrick,AG,3542,10.18
Gisikon,LU,1331,1.1
Giswil,OW,3651,85.9
Givisiez,FR,3199,3.47
Givrins,VD,989,3.94
Gland,VD,13078,8.37
Glarus,GL,12521,103.58
Glarus_Nord,GL,18247,147.07
Glarus_Süd,GL,9581,430.06
Glattfelden,ZH,5190,12.28
Gletterens,FR,1051,2.59
Goldach,SG,9048,4.74
Gollion,VD,917,5.48
Gommiswald,SG,5071,33.65
Goms,VS,1203,128.96
Gondiswil,BE,731,9.37
Gonten,AI,1455,24.76
Gontenschwil,AG,2159,9.75
Gordola,TI,4673,6.94
Göschenen,UR,462,104.13
Gossau_SG,SG,18171,27.44
Gossau_ZH,ZH,9968,18.32
Gottlieben,TG,323,0.35
Goumoëns,VD,1110,10.67
Graben,BE,332,3.17
Grabs,SG,6951,54.68
Grächen,VS,1293,14.26
Grancia,TI,515,0.6
Grancy,VD,403,5.63
Grandcour,VD,888,10.22
Grandevent,VD,229,3.44
Grandfontaine,JU,388,8.95
Grandson,VD,3280,7.85
Grandval,BE,393,8.23
Grandvillard,FR,830,24.33
Granges_Veveyse,FR,867,4.47
Granges-Paccot,FR,3686,3.95
Grangettes,FR,199,3.36
Gränichen,AG,7742,17.28
Gravesano,TI,1321,0.66
Greifensee,ZH,5354,2.27
Grellingen,BL,1833,3.3
Grenchen,SO,17140,26.04
Greng,FR,175,0.97
Grengiols,VS,432,58.53
Grens,VD,381,2.55
Greppen,LU,1075,3.34
Gretzenbach,SO,2733,5.83
Grimisuat,VS,3330,4.44
Grindel,SO,505,3.05
Grindelwald,BE,3775,171.34
Grolley,FR,1947,5.35
Grône,VS,2411,20.26
Grono,GR,1373,37.11
Grossaffoltern,BE,3032,15.14
Grossdietwil,LU,863,10.2
Grosshöchstetten,BE,4185,6.92
Grosswangen,LU,3273,19.72
Grub_AR,AR,1045,4.2
Grüningen,ZH,3382,8.75
Grüsch,GR,2074,43.28
Gruyères,FR,2203,28.48
Gryon,VD,1364,15.22
Gsteig,BE,978,62.42
Gsteigwiler,BE,405,7.03
Guggisberg,BE,1539,54.95
Gündlischwand,BE,324,16.77
Günsberg,SO,1166,5.3
Gunzgen,SO,1651,3.9
Gurbrü,BE,246,1.87
Gurmels,FR,4287,17.28
Gurtnellen,UR,558,83.41
Gurzelen,BE,829,4.48
Guttannen,BE,266,200.84
Guttet-Feschel,VS,418,10.41
Güttingen,TG,1560,9.56
Gy,GE,481,3.19
Habkern,BE,643,50.96
Habsburg,AG,440,2.24
Häfelfingen,BL,271,3.97
Hagenbuch,ZH,1106,8.15
Hägendorf,SO,5044,13.9
Häggenschwil,SG,1332,9.12
Hägglingen,AG,2422,7.76
Hagneck,BE,409,1.85
Haldenstein,GR,1025,18.54
Hallau,SH,2179,15.34
Hallwil,AG,875,2.2
Halten,SO,871,1.88
Härkingen,SO,1611,5.51
Hasle_LU,LU,1752,40.33
Hasle_bei_Burgdorf,BE,3350,21.92
Hasliberg,BE,1183,41.75
Hauenstein-Ifenthal,SO,308,5.31
Hauptwil-Gottshaus,TG,1917,12.51
Hausen_AG,AG,3629,3.17
Hausen_am_Albis,ZH,3664,13.63
Haute-Ajoie,JU,1104,40.91
Hauterive_FR,FR,2513,11.93
Hauterive_NE,NE,2650,2.16
Haute-Sorne,JU,6928,71.05
Hauteville,FR,652,10.54
Haut-Intyamon,FR,1542,60.32
Häutligen,BE,253,3.06
Hedingen,ZH,3694,6.56
Hefenhofen,TG,1243,6.18
Heiden,AR,4192,7.49
Heiligenschwendi,BE,682,5.51
